Year,china_CO2,china_GDP_Per_Capita
1990,2173364.2,317.884673
1991,2302185.2,333.1421454
1992,2418175.3,366.4606923
1993,2645411.7,377.3898395
1994,2767666.4,473.4899347
1995,3088620.2,609.6043623
1996,3070505.1,709.4158882
1997,3134112.6,781.7425926
1998,3236278.6,828.5946577
1999,3153661.1,873.297611
2000,3346525.8,959.3604121
2001,3529081.3,1053.112272
2002,3796157.1,1148.514188
2003,4424412.6,1288.637543
2004,5113216.6,1508.667946
2005,5824625.1,1753.414263
2006,6437470.3,2099.219342
2007,6993182.8,2693.958555
2008,7199604.7,3468.327063
2009,7719071.4,3832.227428
2010,8474922.7,4550.473924
2011,9282553.7,5614.385739
2012,9540539.7,6300.582352
2013,9979128,7020.385682
2014,10021043.4,7636.074223
2015,9859281.2,8016.446016
2016,9860914,8094.390375
2017,10089273.2,8817.045496
2018,10567262,9905.406118
2019,10762824,10143.86021
2020,10944686.2,10408.71912
